,precision,recall,f1-score,support
Aheylite,1.0,1.0,1.0,27.0
Annabergite,1.0,1.0,1.0,20.0
Aragonite,1.0,1.0,1.0,16.0
Berlinite,0.95,1.0,0.9743589743589743,19.0
Calcite,1.0,0.9714285714285714,0.9855072463768115,35.0
Chlorite-serpentine,0.9666666666666667,1.0,0.983050847457627,29.0
Clinochlore,1.0,1.0,1.0,27.0
Crandallite,0.96,1.0,0.9795918367346939,24.0
Fluorite,1.0,1.0,1.0,19.0
Illite,1.0,1.0,1.0,26.0
Metavariscite,0.9090909090909091,1.0,0.9523809523809523,20.0
Muscovite,1.0,1.0,1.0,38.0
Planerite,1.0,1.0,1.0,22.0
Quartz,1.0,1.0,1.0,22.0
Strengite,1.0,1.0,1.0,32.0
Talc,1.0,1.0,1.0,26.0
Turquoise,1.0,1.0,1.0,24.0
Variscite,0.9583333333333334,0.8214285714285714,0.8846153846153847,28.0
accuracy,0.986784140969163,0.986784140969163,0.986784140969163,0.986784140969163
macro avg,0.9857828282828281,0.9884920634920635,0.9866391801069135,454.0
weighted avg,0.9870891736750766,0.986784140969163,0.9864341467197413,454.0
